Power / QTL size,h2=0.01,h2=0.02,h2=0.03,h2=0.04,h2=0.05,h2=0.06,h2=0.07,h2=0.08,h2=0.09,h2=0.1
0.1,443,220,145,108,86,71,60,52,46,41
0.2,591,293,194,144,114,94,80,70,61,55
0.3,711,353,233,173,137,113,96,84,74,66
0.4,823,408,269,200,159,131,111,96,85,76
0.5,935,463,306,227,180,149,126,109,96,86
0.6,1054,522,345,256,203,168,142,123,109,97
0.7,1189,589,389,289,229,189,160,139,122,109
0.8,1357,672,444,330,261,216,183,159,140,124
0.9,1610,797,526,391,310,256,217,188,165,147
0.99,2295,1136,750,557,441,364,309,267,235,210
