Power / QTL size,h2=0.01,h2=0.02,h2=0.03,h2=0.04,h2=0.05,h2=0.06,h2=0.07,h2=0.08,h2=0.09,h2=0.1
0.1,436,216,143,106,84,70,59,51,45,40
0.2,582,288,191,142,112,93,79,68,60,54
0.3,700,347,229,171,135,112,95,82,72,65
0.4,810,402,265,197,156,129,110,95,84,75
0.5,920,456,301,224,177,146,124,108,95,85
0.6,1037,514,340,252,200,165,140,121,107,95
0.7,1170,580,383,285,225,186,158,137,120,107
0.8,1336,662,437,325,257,212,180,156,137,122
0.9,1585,785,518,385,305,252,214,185,163,145
0.99,2259,1119,738,548,434,358,304,263,232,206
