VCF_ID	TRUE_ID	TO_KEEP	CROSS
09_556.sorted.rg	556	KEEP	YHF5QM6
09_557.sorted.rg	557	KEEP	YHF5QM6
09_723.sorted.rg	723	KEEP	QF2YHM2
09_733.sorted.rg	733	KEEP	QF4YHM8
09_734.sorted.rg	734	KEEP	QF4YHM8
09_735.sorted.rg	735	KEEP	QF4YHM8
09_736.sorted.rg	736	KEEP	QF4YHM8
09_737.sorted.rg	737	KEEP	QF2YHM2
09_739.sorted.rg	739	KEEP	QF2YHM2
09_741.sorted.rg	741	KEEP	QF2YHM2
09_742.sorted.rg	742	KEEP	QF2YHM2
09_743.sorted.rg	743	KEEP	QF2YHM2
09_746.sorted.rg	746	KEEP	YHF5QM6
09_747.sorted.rg	747	KEEP	YHF5QM6
09_748.sorted.rg	748	KEEP	YHF5QM6
09_750.sorted.rg	750	KEEP	QF4YHM8
09_751.sorted.rg	751	KEEP	QF4YHM8
09_752.sorted.rg	752	KEEP	QF4YHM8
09_762.sorted.rg	762	KEEP	YHF6QM7
09_763.sorted.rg	763	KEEP	YHF6QM7
09_766.sorted.rg	766	KEEP	QF2YHM2
09_767.sorted.rg	767	KEEP	QF2YHM2
09_768.sorted.rg	768	KEEP	QF2YHM2
09_769.sorted.rg	769	KEEP	QF2YHM2
09_771.sorted.rg	771	KEEP	QF2YHM2
09_772.sorted.rg	772	KEEP	QF2YHM2
09_773.sorted.rg	773	KEEP	QF2YHM2
09_774.sorted.rg	774	KEEP	QF2YHM2
09_775.sorted.rg	775	KEEP	QF2YHM2
09_776.sorted.rg	776	KEEP	YHF5QM6
09_777.sorted.rg	777	KEEP	YHF5QM6
09_779.sorted.rg	779	KEEP	YHF5QM6
09_780.sorted.rg	780	KEEP	YHF5QM6
09_781.sorted.rg	781	KEEP	YHF5QM6
09_782.sorted.rg	782	KEEP	YHF5QM6
09_783.sorted.rg	783	KEEP	YHF5QM6
09_784.sorted.rg	784	KEEP	YHF5QM6
09_785.sorted.rg	785	KEEP	YHF5QM6
09_787.sorted.rg	787	KEEP	YHF5QM6
09_790.sorted.rg	790	KEEP	YHF5QM6
09_791.sorted.rg	791	KEEP	YHF5QM6
09_792.sorted.rg	792	KEEP	YHF6QM7
09_795.sorted.rg	795	KEEP	YHF6QM7
09_803.sorted.rg	803	KEEP	QF4YHM8
09_805.sorted.rg	805	KEEP	QF4YHM8
09_807.sorted.rg	807	KEEP	QF4YHM8
09_808.sorted.rg	808	KEEP	QF4YHM8
09_810.sorted.rg	810	KEEP	QF4YHM8
09_811.sorted.rg	811	KEEP	QF4YHM8
09_812.sorted.rg	812	KEEP	QF4YHM8
09_813.sorted.rg	813	KEEP	QF4YHM8
09_814.sorted.rg	814	KEEP	QF4YHM8
09_815.sorted.rg	815	KEEP	QF4YHM8
09_816.sorted.rg	816	KEEP	YHF6QM7
09_818.sorted.rg	818	KEEP	YHF6QM7
09_819.sorted.rg	819	KEEP	YHF6QM7
09_823.sorted.rg	823	KEEP	QF4YHM8
09_824.sorted.rg	824	KEEP	QF4YHM8
09_825.sorted.rg	825	KEEP	QF4YHM8
09_827.sorted.rg	827	KEEP	YHF6QM7
09_828.sorted.rg	828	KEEP	YHF6QM7
09_829.sorted.rg	829	KEEP	YHF6QM7
09_830.sorted.rg	830	KEEP	YHF6QM7
09_831.sorted.rg	831	KEEP	YHF6QM7
09_833.sorted.rg	833	KEEP	YHF6QM7
10_835.sorted.rg	835	KEEP	YHF6QM7
10_836.sorted.rg	836	KEEP	YHF5QM6
10_839.sorted.rg	839	KEEP	YHF6QM7
10_841.sorted.rg	841	KEEP	YHF5QM6
10_842.sorted.rg	842	KEEP	YHF5QM6
10_843.sorted.rg	843	KEEP	YHF5QM6
10_844.sorted.rg	844	KEEP	YHF5QM6
10_845.sorted.rg	845	KEEP	YHF5QM6
10_846.sorted.rg	846	KEEP	YHF5QM6
10_848.sorted.rg	848	KEEP	YHF5QM6
10_849.sorted.rg	849	KEEP	YHF5QM6
10_850.sorted.rg	850	KEEP	YHF5QM6
10_852.sorted.rg	852	KEEP	YHF5QM6
10_853.sorted.rg	853	KEEP	QF2YHM2
10_855.sorted.rg	855	KEEP	QF2YHM2
10_856.sorted.rg	856	KEEP	QF2YHM2
10_859.sorted.rg	859	KEEP	QF2YHM2
10_860.sorted.rg	860	KEEP	QF2YHM2
10_862.sorted.rg	862	KEEP	QF2YHM2
10_864.sorted.rg	864	KEEP	QF4YHM8
10_867.sorted.rg	867	KEEP	YHF5QM6
10_868.sorted.rg	868	KEEP	YHF5QM6
10_869.sorted.rg	869	KEEP	QF4YHM8
10_870.sorted.rg	870	KEEP	QF4YHM8
10_871.sorted.rg	871	KEEP	QF4YHM8
10_872.sorted.rg	872	KEEP	YHF5QM6
10_874.sorted.rg	874	KEEP	QF4YHM8
10_875.sorted.rg	875	KEEP	QF4YHM8
10_877.sorted.rg	877	KEEP	QF4YHM8
10_878.sorted.rg	878	KEEP	QF4YHM8
10_879.sorted.rg	879	KEEP	QF4YHM8
10_883.sorted.rg	883	KEEP	QF4YHM8
10_885.sorted.rg	885	KEEP	QF2YHM2
10_887.sorted.rg	887	KEEP	QF2YHM2
10_891.sorted.rg	891	KEEP	YHF5QM6
10_893.sorted.rg	893	KEEP	YHF5QM6
10_895.sorted.rg	895	KEEP	QF4YHM8
10_896.sorted.rg	896	KEEP	QF4YHM8
10_898.sorted.rg	898	KEEP	YHF5QM6
10_902.sorted.rg	902	KEEP	YHF5QM6
10_904.sorted.rg	904	KEEP	YHF5QM6
10_907.sorted.rg	907	KEEP	QF4YHM8
10_908.sorted.rg	908	KEEP	QF4YHM8
10_911.sorted.rg	911	KEEP	QF4YHM8
10_915.sorted.rg	915	KEEP	QF4YHM8
10_916.sorted.rg	916	KEEP	YHF6QM7
10_920.sorted.rg	920	KEEP	YHF6QM7
10_922.sorted.rg	922	KEEP	YHF6QM7
10_925.sorted.rg	925	KEEP	YHF6QM7
10_926.sorted.rg	926	KEEP	YHF6QM7
10_929.sorted.rg	929	KEEP	YHF6QM7
10_930.sorted.rg	930	KEEP	YHF6QM7
10_931.sorted.rg	931	KEEP	YHF6QM7
10_933.sorted.rg	933	KEEP	YHF6QM7
10_935.sorted.rg	935	KEEP	QF4YHM8
10_938.sorted.rg	938	KEEP	QF4YHM8
10_941.sorted.rg	941	KEEP	QF4YHM8
10_945.sorted.rg	945	KEEP	QF2YHM2
10_947.sorted.rg	947	KEEP	QF2YHM2
