cross,ID,age_first_brood,size_at_first_brood,first_brood_size,interbrood,dry_offspring_weight_1,dry_offspring_weight_2
YHF5QM6,548,71,18.2,7,25,NA,0.00109090909090909
YHF5QM6,549,72,18.14,3,26,0.00133333333333333,0.00114285714285714
YHF5QM6,550,80,19.01,9,28,0.000555555555555556,0.000722222222222222
YHF5QM6,551,65,18.64,7,28,0.000714285714285714,0.000866666666666667
YHF5QM6,552,69,19.2,5,24,0.001,0.000833333333333333
YHF5QM6,554,71,19.12,4,20,0.001,6e-04
YHF5QM6,555,67,18.75,8,19,0.0005125,0.000666666666666667
YHF5QM6,556,71,18.23,1,24,0.001,0.000692307692307692
YHF5QM6,557,95,23.03,17,27,0.000764705882352941,0.00076
YHF5QM6,568,63,19.27,4,22,0.00025,0.000769230769230769
YHF5QM6,570,71,19.92,7,26,5e-04,6e-04
YHF5QM6,571,69,19.99,6,22,5e-04,0.000533333333333333
YHF5QM6,583,98,22.24,13,26,0.000776923076923077,0.000836842105263158
YHF5QM6,584,68,19.91,11,27,0.000563636363636364,0.000715789473684211
YHF5QM6,585,70,18.56,12,29,0.00049375,0.000575
YHF5QM6,586,88,19.32,3,26,8e-04,0.00055
YHF5QM6,588,74,19.03,7,28,0.000485714285714286,0.000623076923076923
YHF5QM6,590,73,18.78,5,27,NA,0.001
YHF5QM6,591,99,20.72,12,28,0.000666666666666667,0.000642857142857143
YHF5QM6,597,67,19.12,4,25,0.000475,0.000771428571428571
YHF5QM6,602,66,18.32,6,24,0.000533333333333333,0.00058125
YHF5QM6,603,82,20.68,13,21,0.000576923076923077,0.000635
YHF5QM6,604,66,18.23,2,25,4e-04,6e-04
YHF5QM6,605,67,18.3,5,24,5e-04,0.000530769230769231
YHF5QM6,606,85,18.54,5,25,0.00078,0.00060625
YHF5QM6,622,69,18.76,6,23,0.000616666666666667,0.0007875
YHF5QM6,623,99,21.21,8,27,0.0006875,0.000704166666666667
YHF5QM6,624,67,16.98,7,NA,0.000528571428571429,NA
YHF5QM6,626,81,21.69,7,23,0.000707142857142857,0.000731578947368421
YHF5QM6,628,95,21.21,9,23,0.000933333333333333,0.000785714285714286
YHF5QM6,629,92,22.16,13,23,0.000746153846153846,0.00080625
YHF5QM6,632,68,19.3,8,24,0.000666666666666667,0.000777777777777778
YHF5QM6,686,68,17.54,2,26,0.00055,0.000683333333333333
YHF5QM6,687,69,18,6,25,0.000666666666666667,0.000866666666666667
YHF5QM6,689,96,20.22,11,26,0.000854545454545455,0.000933333333333333
YHF5QM6,697,68,17.57,3,27,0.000733333333333333,0.00076
YHF5QM6,698,65,18.15,6,24,0.000583333333333333,0.000933333333333333
YHF5QM6,699,70,18.45,3,25,7e-04,0.000885714285714286
YHF5QM6,700,68,19.01,2,24,0.00075,0.001
YHF5QM6,701,65,18.52,4,25,7e-04,0.000866666666666667
YHF5QM6,702,72,17.7,3,25,NA,0.0009875
YHF5QM6,708,77,21.39,5,23,8e-04,0.000738461538461538
YHF5QM6,709,64,19.25,5,25,6e-04,0.000809090909090909
YHF5QM6,710,67,18.14,6,29,5e-04,0.000576923076923077
YHF5QM6,711,76,20.4,1,11,0.0029,0.000854545454545455
YHF5QM6,712,69,18.45,4,27,0.000475,0.000684615384615385
YHF5QM6,713,74,18.12,1,28,7e-04,8e-04
YHF5QM6,714,67,18.68,4,23,6e-04,0.000628571428571429
YHF5QM6,715,61,18.53,3,25,6e-04,0.000757142857142857
YHF5QM6,745,61,17.64,5,26,0.00052,0.000854545454545455
YHF5QM6,746,59,19.35,1,19,5e-04,0.000607142857142857
YHF5QM6,747,75,17.2,2,26,0.00075,7e-04
YHF5QM6,748,64,19.62,7,25,0.000642857142857143,0.000728571428571429
YHF5QM6,776,60,18.44,5,26,0.00064,0.000772727272727273
YHF5QM6,777,78,19.69,3,21,0.000933333333333333,0.000781818181818182
YHF5QM6,778,63,16.53,4,20,0.000675,0.000736363636363636
YHF5QM6,779,64,18.81,5,23,0.00062,0.000641666666666667
YHF5QM6,780,60,18.92,10,20,0.00046,0.000558823529411765
YHF5QM6,781,63,19.51,5,24,5e-04,8e-04
YHF5QM6,782,64,18.73,5,22,4e-04,0.000555555555555556
YHF5QM6,783,64,19.56,2,20,0.00065,0.000733333333333333
YHF5QM6,784,64,19.96,4,22,0.00085,0.000838461538461538
YHF5QM6,785,58,18.27,5,24,0.00048,0.00058
YHF5QM6,786,71,20.15,4,27,0.00045,0.000753846153846154
YHF5QM6,787,61,19.1,7,23,8e-04,0.000638888888888889
YHF5QM6,788,73,18.99,5,23,0.00082,3e-04
YHF5QM6,790,88,20.88,15,27,0.000593333333333333,0.000753846153846154
YHF5QM6,791,102,19.8,6,31,0.000866666666666667,0.000683333333333333
YHF5QM6,836,103,19.9,10,33,NA,9e-04
YHF5QM6,841,76,16.94,8,23,NA,0.000775
YHF5QM6,842,64,19.73,9,23,0.000511111111111111,0.000685714285714286
YHF5QM6,843,62,18.67,7,22,0.000642857142857143,0.000623076923076923
YHF5QM6,844,90,22.33,17,28,0.000664705882352941,0.000757142857142857
YHF5QM6,845,66,18.4,2,24,0.00055,0.00085
YHF5QM6,846,67,18.6,8,NA,0.00055,NA
YHF5QM6,848,70,15.42,3,30,0.000633333333333333,NA
YHF5QM6,849,71,16.87,8,29,0.00055,0.000683333333333333
YHF5QM6,850,103,19.01,14,39,0.000692857142857143,NA
YHF5QM6,852,67,19.15,9,26,0.000522222222222222,0.000625
