Cross,Block,ID,Days,Mature_length,Mature_weight
QF2YHM2,6,1,47,13.8,0.06
QF2YHM2,6,2,46,12.98,0.053
QF2YHM2,6,3,52,14.54,0.065
QF2YHM2,6,4,,,
QF2YHM2,6,5,49,13.63,0.053
YHF5QM6,2,6,60,13.15,0.045
YHF5QM6,2,7,47,15.23,0.076
YHF5QM6,2,8,56,14.1,0.063
YHF5QM6,2,9,49,14.58,0.063
YHF5QM6,2,10,47,12.84,0.043
QF4YHM8,4,11,55,14.62,0.064
QF4YHM8,4,12,52,14.16,0.059
QF2YHM2,3,13,49,14.48,0.06
QF2YHM2,3,14,56,13.2,0.051
QF2YHM2,3,15,45,14.57,0.066
QF2YHM2,3,16,48,13.24,0.047
QF2YHM2,3,17,,,
QF2YHM2,3,18,43,13.31,0.051
QF2YHM2,3,19,,,
QF2YHM2,3,20,,,
QF2YHM2,3,21,51,14.29,0.061
QF2YHM2,3,22,53,13.81,0.05
QF2YHM2,3,23,,,
QF4YHM8,1,24,43,14.25,0.064
QF4YHM8,1,25,45,14.18,0.061
QF4YHM8,1,26,43,13.96,0.06
QF4YHM8,1,27,53,14.34,0.062
QF4YHM8,1,28,49,14.43,0.062
YHF5QM6,3,29,48,14.15,0.061
YHF5QM6,3,30,47,13.44,0.05
YHF5QM6,3,31,42,13.58,0.053
YHF5QM6,3,32,51,14.01,0.063
YHF6QM7,2,33,43,14.76,0.068
YHF6QM7,2,34,43,13.82,0.06
YHF6QM7,2,35,43,13.91,0.053
YHF6QM7,2,36,47,13.57,0.055
YHF6QM7,2,37,43,13.97,0.065
YHF6QM7,12,38,43,14.35,0.065
YHF6QM7,12,39,38,13.57,0.06
YHF6QM7,12,40,47,13.54,0.046
YHF6QM7,12,41,,,
YHF6QM7,12,42,52,13.38,0.056
YHF5QM6,7,43,58,13.54,0.054
YHF5QM6,7,44,,,
YHF5QM6,7,45,54,14.2,0.058
YHF5QM6,7,46,59,14.88,0.071
YHF5QM6,7,47,45,14.27,0.065
YHF5QM6,10,48,50,13.56,0.056
YHF5QM6,10,49,48,14,0.058
YHF5QM6,10,50,57,13.85,0.065
YHF5QM6,10,51,48,12.77,0.043
YHF5QM6,10,52,58,12.71,0.051
YHF5QM6,10,53,58,13.23,0.052
YHF5QM6,8,54,42,14.24,0.058
YHF6QM7,8,55,47,13.64,0.054
YHF6QM7,8,56,53,13.14,0.048
YHF6QM7,8,57,52,12.95,0.044
YHF6QM7,8,58,42,13.33,0.048
YHF6QM7,1,59,48,13.13,0.049
YHF6QM7,1,60,54,12.13,0.043
YHF6QM7,1,61,55,13.29,0.055
YHF6QM7,1,62,45,13.62,0.051
YHF6QM7,1,63,53,14.4,0.064
YHF6QM7,7,64,53,13.14,0.053
YHF6QM7,7,65,51,13.38,0.05
YHF6QM7,7,66,49,13.18,0.051
YHF6QM7,7,67,44,13.23,0.05
YHF6QM7,7,68,42,13.56,0.051
QF2YHM2,1,69,52,14.17,0.062
QF2YHM2,1,70,58,13.72,0.057
QF2YHM2,1,71,53,13.2,0.05
QF2YHM2,1,72,,,
QF2YHM2,1,73,47,13.57,0.052
QF2YHM2,1,74,51,13.61,0.062
QF2YHM2,1,75,50,14.75,0.061
QF2YHM2,1,76,66,13.41,0.051
QF2YHM2,1,77,,,
QF2YHM2,1,78,48,14.54,0.061
QF2YHM2,1,79,54,14.38,0.059
QF2YHM2,1,80,47,14.57,0.064
QF2YHM2,1,81,56,14.33,0.059
YHF5QM6,8,82,47,12.97,0.048
YHF5QM6,8,83,,,
YHF5QM6,8,84,,,
YHF5QM6,8,85,58,12.86,0.05
YHF5QM6,8,86,58,12.99,0.044
YHF6QM7,10,87,61,14.11,0.059
YHF6QM7,10,88,55,13.82,0.051
YHF6QM7,10,89,57,13.43,0.05
YHF6QM7,10,90,54,13.11,0.048
YHF6QM7,10,91,59,12.07,0.036
YHF6QM7,10,92,44,14.1,0.056
YHF6QM7,3,93,42,12.78,0.045
YHF6QM7,3,94,46,14.78,0.068
YHF6QM7,3,95,48,13.91,0.053
YHF6QM7,3,96,49,13.36,0.053
QF4YHM8,6,97,42,14.26,0.062
QF4YHM8,6,98,41,14.09,0.058
QF4YHM8,6,99,39,14.55,0.053
QF4YHM8,6,100,42,14.65,0.073
YHF6QM7,6,101,55,13.57,0.047
YHF6QM7,13,102,49,13.37,0.056
YHF6QM7,13,103,39,14.01,0.056
QF4YHM8,3,104,47,14.1,0.06
QF4YHM8,3,105,62,14.62,0.065
QF4YHM8,3,106,41,13.72,0.053
QF4YHM8,3,107,52,14.19,0.06
QF4YHM8,3,108,49,13.75,0.068
QF4YHM8,3,109,55,14.3,0.06
QF4YHM8,3,110,48,14.37,0.059
YHF6QM7,6,111,48,14.21,0.065
YHF6QM7,6,112,48,14.21,0.065
QF2YHM2,4,113,48,14.42,0.054
QF2YHM2,4,114,48,13.23,0.043
QF2YHM2,4,115,46,13.3,0.049
QF2YHM2,4,116,,,
QF2YHM2,4,117,44,13.45,0.049
QF2YHM2,4,118,60,13.99,0.052
QF2YHM2,4,119,58,13.79,0.054
QF2YHM2,4,120,57,13.61,0.05
QF2YHM2,4,121,48,14.03,0.05
QF2YHM2,7,122,48,13.57,0.051
QF2YHM2,7,123,51,14.5,0.062
QF2YHM2,7,124,48,13.56,0.05
QF2YHM2,7,125,48,14.06,0.068
QF2YHM2,7,126,48,13.62,0.058
QF2YHM2,7,127,47,13.54,0.053
YHF6QM7,4,128,55,13.59,0.053
YHF6QM7,4,129,,,
YHF6QM7,4,130,,,
YHF6QM7,4,131,53,13.3,0.053
YHF5QM6,6,132,52,13.96,0.058
YHF5QM6,6,133,53,13.52,0.053
YHF5QM6,6,134,50,13.52,0.053
YHF5QM6,6,135,57,12.57,0.044
YHF5QM6,6,136,52,12.02,0.04
YHF5QM6,4,137,69,12.56,0.041
YHF5QM6,4,138,51,14.11,0.052
YHF5QM6,4,139,57,13.49,0.054
YHF5QM6,4,140,57,13.65,0.056
YHF5QM6,4,141,48,13.98,0.058
YHF5QM6,5,142,69,13.79,0.06
YHF5QM6,5,143,48,13.49,0.061
YHF5QM6,5,144,48,13.44,0.061
YHF6QM7,5,145,48,13.98,0.061
YHF6QM7,5,146,48,14.18,0.059
YHF6QM7,5,147,46,14.6,0.07
YHF6QM7,5,148,46,14.36,0.065
QF4YHM8,4,149,53,14.07,0.061
QF4YHM8,4,150,49,14.95,0.073
QF4YHM8,4,151,,,
QF4YHM8,4,152,,,
QF4YHM8,4,153,,,
QF4YHM8,4,154,,,
QF4YHM8,4,155,,,
QF4YHM8,4,156,57,14.27,0.058
YHF5QM6,3,157,54,13.77,0.06
YHF5QM6,3,158,53,13.94,0.061
YHF5QM6,3,159,48,14.01,0.072
YHF6QM7,9,160,53,15.02,0.073
YHF6QM7,9,161,52,14.06,0.063
QF2YHM2,6,162,46,14.79,0.072
QF2YHM2,6,163,53,14.06,0.067
QF2YHM2,6,164,48,13.64,0.061
QF2YHM2,6,165,48,14.68,0.069
QF2YHM2,6,166,53,14.49,0.062
QF2YHM2,6,167,50,14.29,0.064
QF4YHM8,1,168,48,12.73,0.047
QF4YHM8,1,169,,,
QF4YHM8,1,170,,,
QF4YHM8,1,171,48,14.96,0.082
QF4YHM8,1,172,54,14.7,0.063
QF4YHM8,1,173,52,14.64,0.068
QF4YHM8,1,174,42,13.24,0.05
