marker	cM	mapped	original_chr	LG	trim
3382	0	44111098	chr2	LG1	No
3388	0.474	44182190	chr2	LG1	No
3404	7.016	44356373	chr2	LG1	No
3501	8.451	45099955	chr2	LG1	No
3414	8.451	44460428	chr2	LG1	No
1218	8.925	251866	000179F0	LG1	No
3392	9.878	44260265	chr2	LG1	No
3438	10.352	44632473	chr2	LG1	No
3496	12.768	45079284	chr2	LG1	No
3504	12.768	45130962	chr2	LG1	No
3456	12.768	44757794	chr2	LG1	No
3491	14.47	45050717	chr2	LG1	No
3363	14.47	43792865	chr2	LG1	No
3518	16.339	45317199	chr2	LG1	No
3492	16.339	45050726	chr2	LG1	No
3474	16.549	44907678	chr2	LG1	No
3495	16.923	45077208	chr2	LG1	No
3468	16.923	44900444	chr2	LG1	No
3467	16.923	44896517	chr2	LG1	No
3457	16.923	44767364	chr2	LG1	No
3494	16.923	45073107	chr2	LG1	No
3499	17.539	45090154	chr2	LG1	No
1622	17.539	17756	000276F0	LG1	No
1623	17.539	21732	000276F0	LG1	No
1215	17.539	211651	000179F0	LG1	No
1226	17.539	290519	000179F0	LG1	No
1227	17.539	302600	000179F0	LG1	No
1219	17.539	255497	000179F0	LG1	No
1225	17.539	290462	000179F0	LG1	No
1213	17.539	194055	000179F0	LG1	No
1214	17.616	210042	000179F0	LG1	No
1211	17.616	177850	000179F0	LG1	No
1205	17.616	125249	000179F0	LG1	No
1224	17.616	282932	000179F0	LG1	No
1223	17.616	282922	000179F0	LG1	No
1229	17.616	329368	000179F0	LG1	No
1222	17.616	279275	000179F0	LG1	No
1206	17.616	149893	000179F0	LG1	No
1505	17.769	52060	000203F0	LG1	No
1514	17.846	196347	000203F0	LG1	No
1509	17.846	98981	000203F0	LG1	No
1511	17.922	126954	000203F0	LG1	No
1508	17.999	98971	000203F0	LG1	No
1510	18.229	126942	000203F0	LG1	No
1216	18.229	212227	000179F0	LG1	No
3515	18.614	45295894	chr2	LG1	No
3516	18.614	45295921	chr2	LG1	No
3513	19.075	45281653	chr2	LG1	No
3485	19.769	45007158	chr2	LG1	No
3505	19.999	45161166	chr2	LG1	No
3486	20.384	45025619	chr2	LG1	No
3506	20.46	45161231	chr2	LG1	No
3497	20.69	45079285	chr2	LG1	No
3481	20.69	44944364	chr2	LG1	No
3453	20.921	44743834	chr2	LG1	No
3480	20.997	44941042	chr2	LG1	No
3469	21.228	44901575	chr2	LG1	No
3470	21.535	44901582	chr2	LG1	No
3455	21.535	44752075	chr2	LG1	No
3462	21.611	44795520	chr2	LG1	No
3460	21.765	44794414	chr2	LG1	No
3454	21.765	44751602	chr2	LG1	No
3443	21.918	44662611	chr2	LG1	No
3449	21.918	44689720	chr2	LG1	No
3464	21.918	44799817	chr2	LG1	No
3450	21.995	44689724	chr2	LG1	No
3451	21.995	44704069	chr2	LG1	No
3442	22.611	44662595	chr2	LG1	No
3448	22.995	44685563	chr2	LG1	No
3445	22.995	44684305	chr2	LG1	No
3422	23.612	44480907	chr2	LG1	No
3435	23.612	44618362	chr2	LG1	No
3421	23.612	44480902	chr2	LG1	No
3411	23.842	44433114	chr2	LG1	No
3412	23.842	44433126	chr2	LG1	No
3409	23.919	44397553	chr2	LG1	No
3408	23.919	44397549	chr2	LG1	No
3406	24.613	44385692	chr2	LG1	No
3416	24.613	44460439	chr2	LG1	No
3403	24.766	44356369	chr2	LG1	No
3407	25.073	44385759	chr2	LG1	No
3399	25.227	44298780	chr2	LG1	No
3476	28.062	44911194	chr2	LG1	No
3373	29.067	44008826	chr2	LG1	No
3381	29.375	44111085	chr2	LG1	No
3378	29.528	44084839	chr2	LG1	No
3377	29.528	44084812	chr2	LG1	No
3374	29.605	44011466	chr2	LG1	No
3376	29.605	44025178	chr2	LG1	No
3375	32.765	44011477	chr2	LG1	No
3359	34.479	43641855	chr2	LG1	No
3348	34.709	43341441	chr2	LG1	No
3354	34.709	43537003	chr2	LG1	No
3370	34.939	43920616	chr2	LG1	No
3371	34.939	43930481	chr2	LG1	No
3372	34.939	43930489	chr2	LG1	No
3369	34.939	43920606	chr2	LG1	No
3358	35.016	43608116	chr2	LG1	No
3357	35.093	43554589	chr2	LG1	No
3345	36.411	43182780	chr2	LG1	No
