position	pos_0	pos_1	pos_2	pos_3	pos_4	pos_5	pos_6	pos_7	pos_8	pos_9	pos_10	pos_11	pos_12	pos_13	pos_14	pos_15	pos_16	pos_17	pos_18	pos_19	pos_20	pos_21	pos_22	pos_23	pos_24	pos_25	pos_26	pos_27	pos_28	pos_29	pos_30	pos_31	pos_32	pos_33	pos_34	pos_35	pos_36	pos_37	pos_38	pos_39	pos_40	pos_41	pos_42	pos_43	pos_44	pos_45	pos_46	pos_47	pos_48	pos_49	pos_50	pos_51	pos_52	pos_53	pos_54	pos_55	pos_56	pos_57	pos_58	pos_59	pos_60	pos_61	pos_62	pos_63	pos_64	pos_65	pos_66	pos_67	pos_68	pos_69	pos_70	pos_71	pos_72	pos_73	pos_74	pos_75	pos_76	pos_77	pos_78	pos_79	pos_80	pos_81	pos_82	pos_83	pos_84	pos_85	pos_86	pos_87	pos_88	pos_89	pos_90	pos_91	pos_92	pos_93	pos_94	pos_95	pos_96	pos_97	pos_98	pos_99	pos_100	pos_101	pos_102	pos_103	pos_104	pos_105	pos_106	pos_107	pos_108	pos_109	pos_110	pos_111
pos_0	6.186184833622546	4.30260277968207	4.722780606946136	-62.04644268027839	-61.76431485445697	-98.78652971949968	-101.66972669812343	-119.31464188804581	-122.79400099077087	-125.10074760618352	-131.71951619026245	-115.32700063318704	-115.29411488011434	-110.45971562713345	-112.41774911844718	-111.66851753086064	-112.4674976193787	-112.15242887635696	-117.32655775712895	-120.6131220443028	-120.41415770092866	-119.53102184600571	-122.57871426769981	-121.55875775092602	-121.66551993660678	-119.81280830717803	-120.61867390941133	-120.95963158131522	-117.94043435144269	-117.39591513585117	-120.43784670822282	-118.95037492736324	-119.23291549698097	-121.07833762599527	-122.73737209010748	-122.56422940069045	-124.64013563418563	-124.1173537545536	-123.32914479858698	-141.42038623323637	-136.02218759844325	-136.02771529810613	-134.39574003863393	-128.38521286449125	-127.71866085459733	-127.72124579067166	-128.54362156018257	-126.50118476001792	-125.29210124700947	-133.02705306095078	-133.5359214653385	-121.17722292381276	-123.71337487770717	-124.18680402327699	-123.61519793143889	-123.4110036320351	-131.78576757974182	-123.71799269959618	-123.71713647872824	-126.0196950311589	-155.85190759716681	-146.5044873106877	-156.40018466700747	-157.57391700462176	-146.7773548198894	-120.7383669646659	-89.35096429262892	-87.96876091284025	-96.13403100002336	-64.9856989097612	-61.80615345714598	-66.61055387832639	-66.17724470379306	-78.15901297095252	-77.34247000663099	-77.62720294678445	-81.78424306004838	-82.15422543819145	-83.72816613658044	-83.42162130920323	-85.3771953359564	-85.3780121857121	-80.95376461970866	-86.34259014655717	-87.58872423867655	-92.94487535433305	-92.71839725237356	-85.3728362863037	-85.35372592895504	-86.09147882600908	-93.63011825216016	-95.86024569186716	-98.71826193110894	-104.07963896950677	-104.34664581081896	-87.5076859140182	-82.53687554994889	-79.54146962797921	-73.03790760094215	-78.48336130823061	-78.50791179993	-76.02068254438166	-78.93040588174462	-78.74922661248021	-80.97554956252787	-80.08992462673507	-76.90935364250139	-78.5453027245621	-79.66706641352633	-78.16417988323201	-74.16570586474022	-73.82328071202943
pos_1	-14.985762683213308	-15.540927248524238	-15.120749421260173	-32.9057861588201	-32.62365833299868	-115.9284441869095	-118.81164116553325	-136.45655635545563	-134.88399041425868	-118.53785766080588	-118.58828129625071	-97.57792311930403	-93.175719612041	-84.42132011203242	-82.89647339520789	-82.14724180762136	-82.94621506224378	-82.63114631922204	-84.57873767882954	-86.64633192481966	-85.56996372061836	-84.68682786569542	-87.73452028738951	-86.7145583863343	-86.8207893919451	-84.96807776251636	-83.74806316711127	-84.6200509774491	-81.60085374757656	-81.05633453198502	-81.30988167930545	-79.61549983315837	-79.89804040277609	-82.73388867206532	-86.10146704107173	-85.92832435165468	-88.00423058514987	-87.7825182557686	-89.91945933925275	-108.01070077390214	-106.46700244745702	-106.4725301471199	-106.06261498864194	-106.74934757751645	-106.08279556762251	-104.01046058159939	-104.8328363511103	-102.79039955094565	-101.5813160379372	-101.88729087192448	-102.3961592763122	-81.36952104841895	-81.17464303006194	-81.64807217563177	-81.07646608379369	-80.87227178438991	-89.48833869736143	-83.31461381917485	-83.31375759830686	-85.61631615073755	-115.74955871323662	-115.6423299476374	-125.53802730395715	-126.71175964157146	-115.91519745683911	-111.41267067485155	-100.01033797882882	-98.62813459904015	-106.79340468622325	-75.6450725959611	-72.46552714334588	-50.85580731338248	-50.42249813884914	-51.91112024334604	-51.09457727902451	-51.37931021917796	-55.53635033244189	-55.90633271058497	-57.48027340897396	-57.173728581596755	-59.12930260834992	-58.80908954831359	-54.38484198231015	-59.77366750915865	-61.01980160127803	-66.37595271693453	-66.14947461497505	-58.80391364890518	-58.78480329155652	-56.52772505710476	-64.06636448325584	-64.13752185654303	-63.455538738298785	-68.8169157766966	-68.66081113328023	-70.59195677899106	-69.77929416367346	-70.38595009847583	-63.882388071438776	-69.32784177872722	-69.35239227042662	-66.86516301487828	-69.77488635224124	-74.99164717331503	-65.33984979003007	-63.597587742929306	-58.39967736450237	-56.52358543625068	-57.64534912521492	-56.142462594920595	-55.26486501095724	-54.922439858246435
pos_2	2.966343283451476	2.4111787181405457	2.831356545404608	-11.9250969160461	-13.513511112455886	-11.418281076722423	-13.699418062363847	-27.605589972395304	-28.90974535858632	-87.88899607491781	-80.09559968990945	-58.216931910526384	-57.704438262117236	-99.44151547288115	-102.52178438428669	-103.61660643235481	-103.52660966487228	-103.21154092185054	-103.36095189507347	-105.71957618090433	-107.91908845055951	-107.03595259563657	-104.68570492699246	-106.66573789040385	-106.77197262359405	-107.01823094816727	-107.54519263710436	-114.14055608406497	-105.72375217512621	-105.17923295953469	-104.53013432059802	-102.83575247445091	-103.11829304406868	-102.54554058068732	-105.75311902202343	-105.57997633260639	-105.8265431361042	-105.83580467525012	-103.17616394454909	-113.2475101412033	-113.69381183410933	-108.07352127785846	-108.37250035108322	-109.05923293995774	-108.3926809300638	-107.42629588019804	-108.24867164970894	-104.69314481225322	-106.48406092672954	-102.26980022261381	-103.46024265242168	-88.10154427632338	-85.20769621279727	-82.98215531319799	-82.71157921785105	-77.70554452511337	-72.53513154982845	-59.45862370997602	-59.45776748910806	-48.654464675839705	-81.56665974842846	-88.90736575877143	-98.80306311509118	-99.26885548133897	-88.47229329660662	-98.68598322693765	-106.66922923035531	-135.68669660974024	-143.85196669692334	-112.70363460666118	-129.35283909987461	-99.15827157452298	-95.72496235832939	-92.71570042293037	-91.89915745860884	-94.88224435788534	-99.03928447114927	-99.40926684929234	-106.62376082157094	-109.1661859068388	-111.12175993359196	-110.52154684481683	-106.82626926970417	-112.21509479655266	-113.47122889709443	-100.54324766047118	-100.3167695585117	-115.95228471583592	-119.68444380667712	-120.4328370792379	-116.54510711151237	-116.61626444313929	-115.93428132489503	-121.29565836329286	-121.13955371987647	-123.0706993655873	-122.25803679192997	-122.86469272673234	-116.36113069969528	-115.42691058098922	-125.8473410200138	-134.77298058314312	-119.6860478601864	-118.41400168369863	-120.64032463374627	-106.90274015361726	-102.58768685176206	-101.85308996998099	-96.9056240384011	-106.005434745409	-109.40569668323904	-104.72970778641552
pos_3	59.71132487268269	59.15616030737176	59.57633813463582	45.3468292292388	45.62895705506022	47.72418709079368	44.84099011216993	27.19607492224754	25.891919536056523	42.23805228950932	46.890557727002246	-52.13064779882936	-85.05628873038161	-75.69806899154484	-78.36825353177971	-77.61902194419318	-80.30078563290567	-79.98571688988395	-84.27520476257727	-84.86279900458204	-84.94231124893906	-88.87814546448338	-91.92583788617746	-88.20690593995315	-91.01210616238205	-97.38592653218244	-98.49282295925786	-108.23104251290503	-105.21184652555895	-104.66732730996743	-104.81513897437885	-102.81972718351255	-104.79031949715	-104.21756703376863	-107.42514547510476	-107.25200278568772	-107.49856958918554	-107.50783112833142	-109.41381801662436	-128.2150594279993	-128.66136112090533	-128.6668888205682	-128.96586789379296	-129.65260048266745	-134.383988356024	-133.41760330615824	-134.23997907566917	-133.04754226659946	-131.83845875359103	-130.3231680946444	-130.83203649903209	-168.00039600506102	-165.1065479415349	-165.57997708710474	-165.00837099526666	-166.57727192224166	-174.89230889049395	-178.22247418400707	-178.22161796313912	-180.52417651556976	-207.60971761651177	-214.93010222924175	-226.2326649728002	-227.4063973104145	-229.95703178822038	-239.1507216878199	-247.13396769123756	-245.75176431144888	-249.21806826035657	-232.49609130929633	-229.31654585668113	-231.27652634186836	-230.84321716733504	-227.83395523193602	-227.01741226761447	-227.30214520776792	-223.09422753671086	-223.4642099148539	-225.03815061324292	-224.73160578586572	-222.48820974661962	-221.5869666613533	-217.1627190953499	-211.14175726918978	-212.3878913613092	-217.74404247696566	-217.5175643750062	-210.17200340893635	-210.15289305158768	-211.19167594513283	-193.2075931166438	-193.27875044827076	-192.5967673300265	-184.0892676568679	-183.93316301345152	-185.86430865916236	-185.051646085505	-185.6583020203074	-182.29844836957787	-171.35843845632942	-171.3829889480288	-168.89575969248048	-171.80548302984346	-171.62430376057904	-173.85062671062667	-172.96500177483387	-130.7776956131253	-123.24924806613127	-124.37101175509551	-122.86812522480119	-85.0461642529173	-84.70373910020652
pos_4	-14.546624351535595	-10.814589841226534	-10.394412013962464	-24.902181100395467	-24.620053274574047	-94.83102317688117	-97.71422015550492	-115.3591353454273	-120.25737353917513	-126.22939553588989	-152.87385006040282	-135.96029805713962	-132.59519430767608	-123.43595133552925	-122.85888455806439	-122.10965297047785	-122.01965620299532	-121.70458745997358	-124.77708851906023	-125.66571275755612	-120.67140488117748	-119.78826902625454	-122.83596144794863	-121.81546836682347	-121.9222305525042	-120.06951892307548	-121.17641452179993	-123.34149244299621	-120.32229521312368	-119.77777599753213	-125.14764719722154	-123.96120541285313	-124.24374598247086	-127.04813814077481	-128.707172604887	-128.53402991546997	-130.60993614896515	-130.0871377023134	-129.9930487687176	-148.084290203367	-146.51471186237282	-146.5202395620357	-147.76517444220443	-145.10396680353838	-144.43741479364445	-144.1389697332276	-144.9613455027385	-142.91890870257387	-141.7098251895654	-147.32247468018605	-147.83134308457372	-132.47264450138772	-138.87982428136837	-139.35325342693818	-138.78164733510008	-138.57745303569632	-149.59146232708292	-144.2226574921064	-144.22180127123843	-146.52435982366907	-176.65760238616818	-172.94043431134472	-182.83613166766446	-184.00986400527879	-173.21330182054643	-156.84743619175097	-143.26789185640342	-141.88568847661475	-150.05095856379785	-118.90262647353569	-115.72308102092049	-128.8729857400263	-128.43967656549296	-134.2833296476318	-133.4667866833103	-133.75151962346374	-137.90855973672768	-138.27854211487073	-139.85248281325974	-139.54593798588255	-141.5015120126357	-146.41635170375977	-141.99210413775634	-147.38092966460485	-148.62706375672423	-153.98321487238073	-153.75673677042124	-146.41117580435136	-146.3920654470027	-143.4118781571801	-150.9505175833312	-149.03167505092276	-152.8027835142537	-155.16416051099125	-155.00805586757485	-148.95823131648757	-152.60344359551553	-137.5794453159108	-131.07588328887374	-136.5213369961622	-136.54588748786162	-134.05865823231326	-136.96838156967624	-137.21522569940137	-134.10018788247524	-132.3497446883375	-125.04417630013269	-123.16808442365296	-124.2898481126172	-122.78696158232286	-113.0128046400226	-112.67037948731179
pos_5	6.40819964966386	5.85303508435293	6.273212911616993	-7.956295993780044	-7.674168167958625	-5.578938132225161	-8.161105114357746	-25.806020304280135	-27.110175690471152	-90.83768061951724	-83.04428423450886	-61.165616455125814	-60.65312280671666	-104.13879386421124	-108.29837594682715	-112.3032538226738	-112.21325705519126	-111.89818831216952	-113.81860489286446	-114.40622357122331	-116.60573584087848	-115.72259998595554	-113.37235459527665	-115.35222230266626	-115.15742331178588	-113.30471168235714	-113.39122279194856	-120.15106915034536	-114.34424414227564	-113.79972492668409	-113.15062628774743	-111.45624444160035	-111.73878501121808	-111.16603254783672	-114.37361098917286	-114.2004682997558	-114.44703510325363	-114.45629664239952	-115.45954269115968	-125.05162695844407	-125.4979286513501	-118.0674133300581	-118.36639240328286	-119.05312499215738	-118.38657298226344	-117.42018793239768	-118.24256370190858	-115.8990969052528	-117.9910347327104	-113.77677630655988	-113.98823812875825	-98.6297093575244	-95.7358612939983	-93.51032039439903	-93.23974429905209	-87.93275933860566	-83.65232350490922	-72.68670476140053	-72.68584854053258	-62.762794145378365	-95.29399725824231	-102.63470326858527	-112.53040062490501	-111.3061929138414	-100.50963072910905	-110.30538062169089	-118.28862662510855	-146.80584657946488	-154.971116666648	-123.82278457638583	-126.92659462681578	-96.7320246164112	-93.2987154002176	-90.28945346481858	-89.47291050049705	-92.75696816916918	-96.91400828243312	-98.30296063685623	-107.85363513801168	-110.54675176382909	-112.50232579058225	-111.9021127018071	-107.1768351393125	-112.565660666161	-113.81179475828039	-101.50792639231598	-99.96247826849289	-109.99908409992123	-113.1996346562524	-113.64677593425766	-107.06034472125806	-107.13150205288498	-106.44951893464072	-111.81089597303855	-111.65479132962217	-113.585936975333	-112.77327440167566	-113.37993033647804	-106.87636830944098	-109.43111817646474	-119.43695749723386	-127.7234609055852	-122.9945874359372	-121.22183736125544	-123.44816031130308	-111.31792051024797	-107.00286720839276	-105.93037777933552	-101.14020027201614	-110.74910855776216	-115.13931484622468	-108.43562860855857
pos_6	-15.822306033198664	-16.377470598509596	-15.957292771245529	-28.686801655812424	-28.404673829991005	-104.19830474651002	-107.08150172513376	-124.72641691505615	-127.3642326101334	-111.0180998566806	-108.98852344874483	-90.05816572935423	-88.0158765857695	-79.26147708576093	-77.7366303689364	-76.98739878134987	-77.78637203597229	-77.47130329295055	-79.48547998988951	-81.55307423587963	-80.47670644585381	-79.59357059093087	-82.64126301262496	-81.62130111156976	-81.72753211718054	-79.87482048775179	-78.88480603428945	-82.22576374785365	-79.20656651798112	-78.6620473023896	-78.91603865292637	-77.22165680677932	-77.50419737639704	-80.34004564568627	-83.70762401469267	-83.53448132527562	-85.6103875587708	-85.38862097239993	-85.59556203529529	-103.68680346994468	-103.36413513827038	-103.36966283793326	-100.96974766010418	-101.65648024897868	-100.98992823908475	-100.02354318921898	-100.8459189587299	-98.80348215856525	-97.5943986455568	-97.90038031343971	-98.40924871782742	-76.49364005365372	-76.29876203529672	-76.77219118086654	-76.20058508902845	-75.99639078962467	-84.6124577025962	-76.54468282245058	-76.54382660158261	-78.84638515401328	-108.97962771651237	-108.87239356663173	-118.76809092295147	-119.94182326056578	-109.14526107583343	-109.14060476949437	-100.9767044818256	-99.59450110203694	-107.75977118922005	-76.61143909895789	-73.43189364634267	-54.03407379223786	-53.600764617704534	-54.90245359641792	-54.0859106320964	-54.37064357224985	-58.527683685513786	-58.89766606365686	-60.471606762045845	-60.16506193466864	-62.120635961421804	-62.080422826580424	-57.65617526057699	-63.04500078742549	-64.29113487954487	-69.64728599520137	-69.42080789324189	-62.07524692717202	-62.05613656982336	-62.49802838054072	-70.0366678066918	-70.10782517997899	-69.42584206173473	-74.78721910013256	-74.63111445671618	-76.562260102427	-75.7495974871094	-76.35625342191177	-69.85269139487471	-75.29814510216316	-75.32269559386258	-72.83546633831422	-75.74518967567718	-80.96195049675099	-70.62015306298433	-68.87789101588355	-65.32958012160472	-65.79484886689464	-66.91661255585888	-65.41372602556456	-63.337158417262216	-62.994733264551414
pos_7	7.481820552041418	6.926655986730486	6.435803769685796	-7.793705135711241	-7.511577309889814	-5.416347274156358	-8.600574249271261	-25.468579463321962	-26.77273484951298	-102.75838949864871	-94.96499311364035	-73.0863253342573	-72.57383168584815	-116.77334815832037	-121.30736269628837	-126.14212349003645	-126.05212672255392	-125.73705797953218	-127.65747456022714	-128.24509323858598	-130.44460550824115	-129.5614696533182	-127.21122198467411	-129.19023007082768	-129.29646107643848	-129.5427194010117	-132.95858538946771	-136.332970275189	-127.91616388119726	-127.37164466560574	-126.72254602666908	-125.028164180522	-125.31070475013973	-124.73795228675837	-127.9455307280945	-127.77238803867745	-128.01895484217528	-128.0282163813212	-123.94267690625175	-129.3965607996813	-129.84286249258733	-125.2028994944216	-125.50187856764636	-126.18861115652088	-125.52205914662694	-124.55567409676118	-125.37804986627208	-121.52149303232522	-123.01137956448585	-118.79711886037013	-120.98357217280248	-105.6259036440679	-102.7320555805418	-98.67754469548508	-98.10593860364698	-92.79825762128432	-88.51781122611283	-76.46931947303014	-76.46846325216218	-64.97514158225616	-97.50632419343319	-104.84703020377617	-114.7427275600959	-114.17646008891852	-103.37989790418617	-113.89461783100836	-121.87786383442602	-157.5048506942893	-165.6701207814724	-134.52178869121025	-143.04260017183987	-112.54700016494411	-109.11369094875052	-106.10442901335149	-105.28788604902996	-108.5726186166682	-112.72965872993213	-116.09961547085489	-125.7394352413658	-128.43289045564885	-130.38846448240201	-129.78825139362687	-125.66503372057072	-131.0538592474192	-131.83630295909688	-113.87864654844712	-110.95319840131852	-122.50042775143241	-126.68543659335766	-127.13253707507685	-120.05703903977128	-120.1281963713982	-119.44621325315394	-124.80759029155178	-124.65148564813539	-126.58263129384622	-125.76996872018888	-126.37662465499126	-119.8730626279542	-117.73884243045771	-127.79971480215953	-136.7243435699978	-130.5321211548865	-128.16920807117535	-130.39553102122298	-119.57961626387583	-115.26456296202063	-114.97854920248095	-107.77776201814825	-118.36782781789574	-123.0490128919817	-124.93872785021638
pos_8	11.906319771892717	11.351155206581788	11.771333033845858	-2.458175871551182	-2.176048045729763	-0.08081800999629962	-3.26504498511121	-22.415110157489412	-23.71926554368043	-107.28397625130923	-99.49057986630086	-77.6119120869178	-77.09941843850865	-120.5033619803002	-125.70634707988796	-131.92329598607182	-131.8332992185893	-131.51823047556755	-133.4386470562625	-134.02626573462132	-136.2257780042765	-135.34264214935357	-132.99239448070946	-134.97242868664733	-135.07866362692528	-135.3249219514985	-136.31181703497893	-143.0717447788602	-135.56660077161135	-135.0220815560198	-134.37298291708314	-132.67860107093608	-132.9611416405538	-132.38838917717243	-135.59596761850855	-135.4228249290915	-135.66939173258933	-135.67865327173524	-130.87225895330002	-135.13554289493163	-135.58184458783765	-130.94188158967194	-131.2408606628967	-131.9275932517712	-131.26104124187728	-130.29465619201153	-131.11703196152243	-127.26047512757555	-128.7503616597362	-124.53610095562046	-125.04496936000817	-109.68618649210929	-106.79233842858318	-101.56688177203651	-100.99527568019839	-95.68759428366025	-91.40714788848872	-81.7564182957097	-81.75556207484173	-70.26224040493571	-102.79342301611274	-110.13412902645572	-120.02982638277545	-119.46355891159808	-108.66699672686573	-119.18171665368791	-127.16496265710558	-162.79348983562787	-170.95875992281097	-139.8104278325488	-146.7742526791583	-116.27865267226257	-112.84534345606896	-109.83608152066994	-109.01953855634841	-112.30427112398665	-116.46131123725058	-119.83129407122941	-132.50214494678596	-135.19560016106902	-137.1511741878222	-136.24993110255588	-132.5546535274432	-137.9434790542917	-134.00939983208332	-118.7637906436233	-115.83834249649472	-131.88042194747328	-136.36646016462652	-136.81356064634565	-129.738053706267	-129.80921103789393	-129.12722791964967	-134.48860495804752	-134.33250031463115	-136.26364596034196	-135.45098338668464	-136.057639321487	-129.55407729444994	-127.41985709695344	-137.211317629311	-146.13695035854468	-129.9474357874839	-127.58452270377272	-129.81084565382037	-118.04771423578424	-113.73266093392905	-113.44664717438937	-106.2457819179762	-116.83584771772368	-122.10695661449176	-126.56014379468051
pos_9	-77.13820563874341	-90.40820071521912	-89.98802288795507	-110.78107448068704	-110.49894665486562	-80.57661982053935	-83.4598167991631	-101.10473198908548	-102.4088873752765	-86.0627546218237	-87.78476129647001	-69.12506695122008	-70.08154319215053	-61.1581563633581	-61.42712969687017	-60.67789810928362	-60.90893125159314	-60.5938625085714	-60.746363438060975	-64.33395772172598	-63.777920545189744	-62.8947846902668	-65.9424771119609	-67.62095407600482	-67.72771626168556	-65.87500463225682	-66.98190023098128	-73.02184538508527	-70.00264815521273	-69.45812893962119	-66.41109025200657	-64.37120225816605	-64.65374282778377	-64.0809903644024	-67.28856880573852	-67.11542611632147	-67.36199291981931	-67.37125445896521	-70.04621137183844	-88.13745280648783	-88.1158144713047	-88.12134217096758	-88.72135124068349	-95.85356341106201	-95.18701140116808	-94.2206263513023	-95.04300212081321	-93.00056532064858	-91.79148180764011	-90.2761911486935	-90.78505955308123	-72.82437156606093	-80.35737766765898	-80.8308068132288	-80.25920072139071	-80.05500642198693	-88.37004339023923	-82.19631851205264	-82.19546229118467	-84.49802084361535	-114.63126340611443	-116.33403595787777	-126.22973331419752	-127.40346565181183	-116.60690346707948	-123.23781198944747	-135.6629235547863	-134.2807201749976	-142.44599026218071	-111.29765817191857	-108.11811271930335	-110.95910634588087	-110.52579717134753	-118.45586951223434	-117.63932654791282	-117.92405948806626	-122.0810996013302	-122.45108197947327	-124.02502267786227	-123.71847785048506	-125.67405187723821	-128.66378294740463	-124.23953538140117	-129.62836090824965	-130.87449500036905	-136.23064611602555	-136.00416801406607	-128.6586070479962	-128.63949669064755	-126.38241845619577	-133.92105788234684	-132.0853051563847	-131.40332203814043	-136.76469907653825	-136.60859443312188	-138.53974007883272	-138.62604749404244	-140.24064349756685	-133.7370814705298	-139.18253517781827	-139.20708566951765	-136.71985641396932	-139.62957975133227	-144.8463405724061	-137.94824383356902	-136.20598178646827	-130.25973073996758	-129.5543191484867	-130.67608283745096	-129.17319630715664	-103.81624648091541	-103.47382132820461
